id,QT,GK,TH,CK,TBM,TBTL
22,10,9,8.5,8.5,8.8,8.52
24,10,8,10,9.5,9.4,8.41
27,10,10,10,10,10,8.67
28,10,9.5,7.5,9.5,9.2,7.39
29,10,9.5,5,8.5,8.2,8.05
30,10,10,9,9,9.3,8.63
34, , ,9,6.5, ,6.24
35,7,9.5,6,4.5,6.2,5.75
36,4.5,8,9,7,7.6,8.51
37,5.5,5.5,7.5,7.5,6.9,8.27
40,10,7,10,8,8.6,8.54
41, , ,6.5,8, ,6.33
42,7.5,10,9,7.5,8.5,8.72
43,10,8.5,7,6,7.2,7.97
44,3,7.5,7.5,5,6.1,7.17
45, , ,7,7.5, ,5.45
47, , ,8.5,4, ,6.69
48, , ,5.5,3, ,4.25
49,4.5,4,8,5.5,5.9,6.74
51,,,,,,
52,5.5,5,7.5,4.5,5.6,7.79
53,10,6,7,6,6.7,7.09
54,5.5,7.5,9,6,7.2,7.05
55,5.5,3.5,6.5,4.5,5,6.72
57,10,8.5,10,8,8.9,8.36
58,10,9,9.5,7,8.5,7.73
59,1.5,5,4,6.5,5,5.56
62,1,7,3.5,4.5,4.4,6.19
64,10,9.5,8,9,8.9,8.7
66,10,8,7,9.5,8.5,8.01
67,10,8.5,7,5.5,7,8.17
68,9,8.5,7.5,9,8.5,7.14
69,6,4,5,6,5.3,7.37
70,6,4.5,7.5,2,4.6,7.27
71,5.5,8.5,9.5,6.5,7.7,7.65
72,8,6,7.5,7.5,7.3,7.9
74,4.5,6,9,6,6.8,6.54
76, , ,5.5,0, ,1.5
77,10,10,8,8.5,8.8,8.99
78,4,6.5,5.5,3.5,4.8,6.65
80,9,6.5,8,8.5,8,8.64
84,1.5,3,4.5,3,3.3,5
85,9,7.5,2,3.5,4.4,6.13
86,3.5,8.5,9,5.5,7,7.64
88,7,7,7.5,9,8,6.91
89,7,7.5,7.5,7.5,7.5,8.59
92,10,10,9.5,8.5,9.3,8.95
93, , ,6.5,3.5, ,6.55
94,9,6,5,6,6,7.33
95,9,10,10,8,9.1,8.86
96,6,4,7.5,7.5,6.7,7.8
97, , ,7.5,5.5, ,5.95
98,8,6.5,5.5,6,6.2,6.38
101,9,5.5,8,8,7.6,8.61
102,5.5,4.5,8,5,5.9,7.65
103,9,7.5,10,5.5,7.6,7.55
104,10,7.5,10,7,8.3,8.06
109,10,9.5,10,9,9.5,8.92
112,6.5,5.5,8.5,5,6.3,6.08
114,6,5.5,5.5,7,6.2,7.68
116, , ,10,8, ,7.57
119,10,8.5,9,5.5,7.6,6.88
122,10,9.5,8,9,8.9,7.88
125,8.5,10,7.5,5.5,7.3,6.89
126,10,9,10,9.5,9.6,9.12
133,9,5,10,8,8.1,8.56
135, , ,9.5,7, ,8.17
136,7,7.5,7,8.5,7.7,7.53
138,3.5,7.5,5.5,7.5,6.5,6.32
140,9,6.5,4.5,7,6.4,7.1
141,10,8,8,9,8.6,8.28
143,7.5,2.5,7.5,4.5,5.3,5.18
145,6,3,8,4.5,5.4,7.45
146,10,4.5,3.5,4.5,4.8,6.48
148,5,6.5,2.5,6,5,6.84
149,3,0.5,7,0,2.5,1.44
150,10,9,9,8,8.7,9
151, , , ,0, , 
153,10,9,9,9,9.1,8.67
154,7,6.5,5,0,3.5,3.49
158,10,8.5,10,7,8.5,8.94
160,6,6.5,8.5,4,6.1,8.64
161,1.5,3,1,0,1.1,3.72
163,10,5,8.5,7.5,7.6,7.43
164,10,7.5,6,6,6.7,7.53
166, , ,5.5,0, ,4.32
167,7.5,4.5,8,7.5,7.1,8.56
169,10,8.5,9.5,5.5,7.8,6.59
170,8,7,8,9,8.2,8.9
171,10,6.5,9,8,8.2,8.4
175, , ,7.5,5.5, ,7.64
179,10,7,6,6.5,6.8,6.31
180,5.5,5,8,5.5,6.2,7.88
181,9,7,8,6.5,7.3,7.88
182, , ,6.5,4, ,6.55
183,5,7.5,8,6.5,7,6.81
185,10,2,8,5.5,6,7.32
188,7.5,8.5,5.5,4.5,5.9,6.23
189, , ,7.5,5.5, ,4.77
190,4.5,4,3,1.5,2.8,4.02
193,8,5.5,7,6.5,6.6,7.43
195,9,8.5,8,7,7.8,7.35
197,8,7, ,8, ,6.89
198,8,9.5,8.5,4.5,7.1,7.35
201,6.5,7,7,7,7,6.55
202,10,9.5,9,9.5,9.4,8.87
204,9.5,7,9,7.5,8.1,8.37
205,5.5,5.5,6.5,8.5,7,7.98
206,9.5,9,9,6.5,8.1,6.76
211,5,8,9.5,5,7,7.97
212,10,7,8.5,5,7,7.49
213,8.5,7.5,10,8,8.6,8.52
215,4.5,5,4.5,6.5,5.4,6.42
216,10,6,9.5,9,8.7,7.98
218,1.5,5,1,5,3.5,5.82
219, , ,9.5,7.5, ,7.41
222,4,3,1.5,0,1.5,3.39
224,10,9,10,8,9,9.12
225,3.5,8.5,5,4,5.2,6.55
226,9,8.5,8,7,7.8,7.62
227,6.5,6,7,6,6.4,7.61
232, , ,8.5,7, ,7.2
234,9,4.5,3,4,4.3,5.94
236,7,10,8,4.5,6.9,7.53
237,5.5,7.5,4,4,4.9,6.99
238,10,9,10,8,9,9.34
239,9,3,6,2.5,4.3,5.64
240,6.5, ,7.5, , ,9.25
241,7,8,8.5,8,8.1,8.31
242,9,10,10,9,9.5,8.47
244,3,7,9.5,8,7.8,6.42
245, , ,8.5,4.5, ,6.19
247,0,0.5,0,0,0.1,0.49
248,10,7,8,8,8,8.8
249,8.5,10,9.5,8.5,9.1,7.84
250,7,10,10,7.5,8.7,8.9
251,10,9,10,8.5,9.2,8.9
252,9,9.5,8,6.5,7.8,6.24
254,8,9,7.5,5,6.9,7.48
255,10,10,9,9,9.3,9.07
256,5.5,3.5,7.5,6,5.9,8.07
257,7,7, ,6.5, ,7.65
263,10,6,7,8,7.5,8
264,10,8.5,10,9.5,9.5,8.3
266,4.5,8,7,7,7,8.13
268,4.5,7,6.5,5,5.8,7.32
269,9,5.5,8.5,7,7.4,6.69
270,9.5,6.5,9,6.5,7.6,7.76
271,1,7.5,7,2.5,4.7,6.21
273, , ,6.5,2.5, ,6.05
274,10,8,8.5,8,8.4,8.65
279,10,9.5,6,7.5,7.7,8.28
281,4.5,4.5,8,4.5,5.6,7.91
284,10,6,10,6,7.6,8.25
286,7.5,10,10,9,9.4,7.29
287, , ,8,6, ,3.89
289, , ,6,3.5, ,6.61
291, , ,5,3.5, ,4.51
292, , ,7,4.5, ,6.03
296,8,3,5,6.5,5.5,6.56
298,1.5,7.5,8,5,6.1,6.17
299,10,10,9.5,9.5,9.7,9.58
300,3,1,4.5,0.5,2.1,3.64
301,8,6,8,8.5,7.8,8.11
303, , ,9.5,8, ,7.77
304,9.5,10,8.5,7.5,8.5,7.74
306,5.5,6.5,8,7,7.1,8.64
307,8.5,2,9,5,6,7.58
309,8,4,5.5,7,6.1,5.66
310,8.5,7.5,7.5,9.5,8.4,7.66
311, , ,6.5,7, ,4.28
312,8,10,7.5,4,6.7,8.42
314,3,7,6.5,8,6.9,7.61
317,9,6.5,7.5,9,8.1,8.88
320,1.5,4.5,5.5,5,4.7,5.85
321,9,6.5,7.5,9,8.1,8.76
322,9,8,5,8.5,7.4,9.11
323,0.5,7.5,8.5,6,6.5,8.37
326,9,6.5,8.5,8,8,8.13
332,9,7,9,9,8.6,8.91
334,10,9,10,4,7.4,7.52
338,10,7,8,8,8,8.18
339, , ,8,2.5, ,6.46
340,4,1.5,5.5,4,4,5.44
341,8,10,7,8,8.1,7.14
343,8,5,6,10,7.6,7.26
